1.69897	-2.79183
1.8451	-2.42216
1.95424	-2.10441
2.04139	-1.90665
2.11394	-1.73634
2.17609	-1.6889
2.23045	-1.59915
2.27875	-1.55329
2.32222	-1.55037
2.36173	-1.42524
2.39794	-1.30602
2.43136	-1.20905
2.4624	-1.11119
2.49136	-0.994811
2.51851	-0.86975
2.54407	-0.792966
2.5682	-0.672177
2.59106	-0.527636
2.61278	-0.377943
2.63347	-0.245452
2.65321	-0.106154
2.6721	-0.000384955
2.6902	0.0990588
2.70757	0.177929
2.72428	0.305847
2.74036	0.385126
2.75587	0.0185212
2.77085	0.350221
2.78533	0.428979
2.79934	0.520655
2.81291	0.556324
2.82607	0.158181
2.83885	0.249068
2.85126	0.30405
2.86332	0.389541
2.87506	0.484413
2.88649	0.357627
2.89763	0.590559
2.90849	0.564264
2.91908	0.647927
2.92942	0.551871
2.93952	0.589986
2.94939	0.633032
2.95904	0.773025
2.96848	0.667875
2.97772	0.841209
2.98677	0.76805
2.99564	0.771202
